name,pandas_dtype,value_type,feature_group,missing_pct_train,used,exclusion_reason
TransactionID,int32,numeric,id,0.0,False,"identifier — not predictive, used only as a row key"
isFraud,int32,numeric,target,0.0,False,target variable — must never appear in X
TransactionDT,int32,numeric,time,0.0,False,"raw absolute time delta deliberately excluded as a raw predictive feature in Phase 1. It IS used for temporal ordering and the train/validation/test split. Reason for exclusion from X: (1) its scale is strictly non-overlapping across train/val/test by construction (train < val < test), so a model could learn a spurious direct time->fraud mapping that does not represent a generalizable pattern and would not transfer to new data outside the observed calendar range; (2) any genuine temporal signal worth capturing (recency, velocity, time-since-last-event) belongs in derived behavioral features, planned for a later phase, not as the raw delta itself. This is a modeling-safety decision, not a leakage removal — TransactionDT is technically available at scoring time and is not future information."
TransactionAmt,float32,numeric,amount,0.0,True,
ProductCD,str,categorical,product,0.0,True,
card1,int32,numeric,card,0.0,True,
card2,float32,numeric,card,0.01577248910198414,True,
card3,float32,numeric,card,0.0019860756982713157,True,
card4,str,categorical,card,0.0020054284456357137,True,
card5,float32,numeric,card,0.007182288365612103,True,
card6,str,categorical,card,0.0019981711653740642,True,
addr1,float32,numeric,addr,0.11495048115768135,True,
addr2,float32,numeric,addr,0.11495048115768135,True,
dist1,float32,numeric,distance,0.6187436196411032,True,
dist2,float32,numeric,distance,0.9294737504172936,True,
P_emaildomain,str,categorical,email,0.15553803056766446,True,
R_emaildomain,str,categorical,email,0.7507341948531369,True,
C1,float32,numeric,C,0.0,True,
C2,float32,numeric,C,0.0,True,
C3,float32,numeric,C,0.0,True,
C4,float32,numeric,C,0.0,True,
C5,float32,numeric,C,0.0,True,
C6,float32,numeric,C,0.0,True,
C7,float32,numeric,C,0.0,True,
C8,float32,numeric,C,0.0,True,
C9,float32,numeric,C,0.0,True,
C10,float32,numeric,C,0.0,True,
C11,float32,numeric,C,0.0,True,
C12,float32,numeric,C,0.0,True,
C13,float32,numeric,C,0.0,True,
C14,float32,numeric,C,0.0,True,
D1,float32,numeric,D,0.0006604125038100721,True,
D2,float32,numeric,D,0.49914122183570486,True,
D3,float32,numeric,D,0.4710676426902254,True,
D4,float32,numeric,D,0.2956495023924834,True,
D5,float32,numeric,D,0.5416108259268756,True,
D6,float32,numeric,D,0.8728282588817015,True,
D7,float32,numeric,D,0.9352989273739774,True,
D8,float32,numeric,D,0.8640783979795732,True,
D9,float32,numeric,D,0.8640783979795732,True,
D10,float32,numeric,D,0.14801465002975486,True,
D11,float32,numeric,D,0.5461659788377707,True,
D12,float32,numeric,D,0.8856034912356245,True,
D13,float32,numeric,D,0.8933832956761124,True,
D14,float32,numeric,D,0.8912182070647204,True,
D15,float32,numeric,D,0.16531842526694696,True,
M1,str,categorical,M,0.5380426631315648,True,
M2,str,categorical,M,0.5380426631315648,True,
M3,str,categorical,M,0.5380426631315648,True,
M4,str,categorical,M,0.48417429084276375,True,
M5,str,categorical,M,0.6041564863151885,True,
M6,str,categorical,M,0.31121878764714134,True,
M7,str,categorical,M,0.6692059083937704,True,
M8,str,categorical,M,0.6691962320200882,True,
M9,str,categorical,M,0.6691962320200882,True,
V1,float32,numeric,V,0.5461659788377707,True,
V2,float32,numeric,V,0.5461659788377707,True,
V3,float32,numeric,V,0.5461659788377707,True,
V4,float32,numeric,V,0.5461659788377707,True,
V5,float32,numeric,V,0.5461659788377707,True,
V6,float32,numeric,V,0.5461659788377707,True,
V7,float32,numeric,V,0.5461659788377707,True,
V8,float32,numeric,V,0.5461659788377707,True,
V9,float32,numeric,V,0.5461659788377707,True,
V10,float32,numeric,V,0.5461659788377707,True,
V11,float32,numeric,V,0.5461659788377707,True,
V12,float32,numeric,V,0.14808238464553025,True,
V13,float32,numeric,V,0.14808238464553025,True,
V14,float32,numeric,V,0.14808238464553025,True,
V15,float32,numeric,V,0.14808238464553025,True,
V16,float32,numeric,V,0.14808238464553025,True,
V17,float32,numeric,V,0.14808238464553025,True,
V18,float32,numeric,V,0.14808238464553025,True,
V19,float32,numeric,V,0.14808238464553025,True,
V20,float32,numeric,V,0.14808238464553025,True,
V21,float32,numeric,V,0.14808238464553025,True,
V22,float32,numeric,V,0.14808238464553025,True,
V23,float32,numeric,V,0.14808238464553025,True,
V24,float32,numeric,V,0.14808238464553025,True,
V25,float32,numeric,V,0.14808238464553025,True,
V26,float32,numeric,V,0.14808238464553025,True,
V27,float32,numeric,V,0.14808238464553025,True,
V28,float32,numeric,V,0.14808238464553025,True,
V29,float32,numeric,V,0.14808238464553025,True,
V30,float32,numeric,V,0.14808238464553025,True,
V31,float32,numeric,V,0.14808238464553025,True,
V32,float32,numeric,V,0.14808238464553025,True,
V33,float32,numeric,V,0.14808238464553025,True,
V34,float32,numeric,V,0.14808238464553025,True,
